specialite,molecules,grammages,forme,labo,dci_signature,source_country,source_name,detail_url,atc_code,auth_number,source_ref,composition_raw,dosage_raw,presentation,distributeur,classe_therapeutique,statut,ppv_value,ppv_currency,prix_hospitalier,tableau,notice_url,nature_produit,ajoute_le,maj_le,scraped_at,last_seen,presentation_pretty,dosage_pretty,composition_pretty
ACICLOVIR ARWA MEDIC 250 MG,aciclovir,250 mg,Poudre pour solution pour perfusion IV en flacon de 10 ML,ARWA MEDIC,aciclovir,MA,medicament.ma,https://medicament.ma/medicament/aciclovir-arwa-medic-250-mg-poudre-pour-solution-pour-perfusion-iv-en-flacon-de-10-ml/,J05AB01,,,Aciclovir,250 MG,Boite de 5 flacons de 10 ML,ARWA MEDIC,Antiviral,Commercialisé,586.0,dhs,389.00 dhs,A,,,Ajouté le: 13 juin 2023 à 08:44,Mise à jour le: 8 juillet 2025 à 08:01,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 5 flacons de 10 ML,250 MG,Aciclovir
ABSTRAL 200 µG,fentanyl,200 µg,Comprimé sublingual [P] [SS],SOTHEMA,fentanyl,MA,medicament.ma,https://medicament.ma/medicament/abstral-200-%c2%b5g-comprime-sublingual/,N02AB03,,,Fentanyl,200 µG,Boite de 10,SOTHEMA,Antalgiques opioïdes,Commercialisé,876.0,dhs,582.00 dhs,B,,Médicament,Ajouté le: 2 novembre 2016 à 17:01,Mise à jour le: 2 février 2024 à 09:25,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 10,200 µG,Fentanyl
ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML,acide zolédronique,4 mg | 5 ml,Solution à diluer pour perfusion,VIATRIS PHARMACEUTICALS,acide zolédronique,MA,medicament.ma,https://medicament.ma/medicament/acide-zoledronique-mylan-4-mg-5-ml-solution-a-diluer-pour-perfusion/,M05BA08,,,Acide zolédronique,4 MG / 5 ML,Flacon de 5 ml,VIATRIS PHARMACEUTICALS,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,1356.0,dhs,1088.00 dhs,A,,Médicament,Ajouté le: 30 mars 2018 à 15:19,Mise à jour le: 16 février 2022 à 15:03,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Flacon de 5 ml,4 MG | 5 ML,Acide Zolédronique
ACETHIO 500 MG / 2 MG,paracetamol | thiocolchicoside,500 mg | 2 mg,Comprimé,SYNTHEMEDIC,paracetamol + thiocolchicoside,MA,medicament.ma,https://medicament.ma/medicament/acethio-500-mg-2-mg-comprime/,M03,,,Paracetamol | Thiocolchicoside,500 MG | 2 MG,Boite de 20,SYNTHEMEDIC,"Antalgique, antipyrétique, décontracturant et myorelaxant",Commercialisé,34.6,dhs,21.60 dhs,A,,Médicament,Ajouté le: 31 janvier 2022 à 09:51,Mise à jour le: 2 février 2024 à 10:16,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 20,500 MG | 2 MG,Paracetamol | Thiocolchicoside
ALFAMOX 125 MG / 5ML,amoxicilline,125 mg | 5ml,Poudre pour suspension buvable,PHARMA5,amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/1lfamox-125-mg-5ml-poudre-pour-suspension-buvable/,J01CA04,,,Amoxicilline,125 MG | 5ML,2 flacons de 60 ML,PHARMA5,"Antibiotique, pénicilline à large spectre",Commercialisé,24.9,dhs,15.50 dhs,A,,Médicament,Ajouté le: 5 novembre 2018 à 16:05,Mise à jour le: 4 février 2024 à 10:25,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,2 flacons de 60 ML,125 MG | 5ML,Amoxicilline
ABIP 15 MG,aripiprazole,15 mg,Comprimé pelliculé [P],SUN PHARMACEUTICALS MOROCCO LLC,aripiprazole,MA,medicament.ma,https://medicament.ma/medicament/abip-15-mg-comprime-pellicule-2/,N05AX12,,,Aripiprazole,15 MG,Boite de 30,SUN PHARMACEUTICALS MOROCCO LLC,Neuroleptique atypique,Commercialisé,372.0,dhs,247.00 dhs,A,,,Ajouté le: 17 octobre 2023 à 09:16,Mise à jour le: 28 octobre 2025 à 17:56,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 30,15 MG,Aripiprazole
ABSTRAL 400 µG,fentanyl,400 µg,Comprimé sublingual [P][SS],SOTHEMA,fentanyl,MA,medicament.ma,https://medicament.ma/medicament/abstral-400-%c2%b5g-comprime-sublingual/,N02AB03,,,Fentanyl,400 µG,Boite de 10,SOTHEMA,Antalgiques opioïdes,Commercialisé,876.0,dhs,582.00 dhs,B,,Médicament,Ajouté le: 2 novembre 2016 à 17:02,Mise à jour le: 2 février 2024 à 09:26,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 10,400 µG,Fentanyl
ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML,acide zolédronique,4 mg | 5 ml,Solution à diluer pour perfusion,PROMOPHARM (HIKMA),acide zolédronique,MA,medicament.ma,https://medicament.ma/medicament/acide-zoledronique-promopharm-4-mg-5-ml-solution-a-diluer-pour-perfusion/,M05BA08,,,Acide zolédronique,4 MG / 5 ML,Boite de 1 flacon de 5 ML,PROMOPHARM (HIKMA),"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,1356.0,dhs,1088.00 dhs,A,,,Ajouté le: 4 mars 2021 à 16:05,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 1 flacon de 5 ML,4 MG | 5 ML,Acide Zolédronique
ACIGAM 100 MG,acide tiaprofénique,100 mg,Comprimé sécable,BOTTU S.A.,acide tiaprofénique,MA,medicament.ma,https://medicament.ma/medicament/acigam-100-mg-comprime-secable/,M01AE11,,,Acide tiaprofénique,100 MG,Boite de 30,BOTTU S.A.,Anti-inflammatoire non stéroïdien,Commercialisé,27.0,dhs,16.90 dhs,C,,,Ajouté le: 20 novembre 2020 à 18:29,Mise à jour le: 2 février 2024 à 09:36,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 30,100 MG,Acide Tiaprofénique
ACLASTA 5 MG / 100 ML,acide zolédronique,5 mg | 100 ml,Solution pour perfusion,SOTHEMA,acide zolédronique,MA,medicament.ma,https://medicament.ma/medicament/aclasta-5mg100-ml-sol-pour-perf/,M05BA08,,,Acide zolédronique,5 MG / 100 ML,Flacon de 100 ml,SOTHEMA,"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,3041.0,dhs,2718.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 15 octobre 2025 à 15:18,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Flacon de 100 ml,5 MG | 100 ML,Acide Zolédronique
ACIGAM 200 MG,acide tiaprofénique,200 mg,Comprimé sécable,BOTTU S.A.,acide tiaprofénique,MA,medicament.ma,https://medicament.ma/medicament/acigam-200-mg-comprime-secable/,M01AE11,,,Acide tiaprofénique,200 MG,Boite de 20,BOTTU S.A.,Anti-inflammatoire non stéroïdien,Commercialisé,33.6,dhs,21.00 dhs,C,,,Ajouté le: 20 novembre 2020 à 18:30,Mise à jour le: 2 février 2024 à 09:37,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 20,200 MG,Acide Tiaprofénique
ACLAV 1 G / 125 MG,amoxicilline | acide clavulanique,1 g | 125 mg,Sachet,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-2/,J01CR02,,,Amoxicilline | Acide clavulanique,1 G | 125 MG,Boîte de 14,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,107.5,dhs,67.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:46,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boîte de 14,1 G | 125 MG,Amoxicilline | Acide Clavulanique
ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML,acide zolédronique,4 mg | 5 ml,Solution à diluer pour perfusion,AMANYS PHARMA (Ex SAHAM PHARMA),acide zolédronique,MA,medicament.ma,https://medicament.ma/medicament/acide-zoledronique-sp-4-mg-5-ml-solution-a-diluer-pour-perfusion/,M05BA08,,,Acide zolédronique,4 MG / 5 ML,Boite de 1 flacon de 5 ml,AMANYS PHARMA (Ex SAHAM PHARMA),"Médicaments pour le traitement de maladies osseuses, bisphosphonate.",Commercialisé,1255.0,dhs,983.00 dhs,A,,,Ajouté le: 4 mars 2021 à 10:42,Mise à jour le: 24 mai 2021 à 16:01,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 1 flacon de 5 ml,4 MG | 5 ML,Acide Zolédronique
ACLAV 1 G / 125 MG,amoxicilline | acide clavulanique,1 g | 125 mg,Sachet,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-3/,J01CR02,,,Amoxicilline | Acide clavulanique,1 G | 125 MG,Boîte de 16,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,123.4,dhs,77.10 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:47,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boîte de 16,1 G | 125 MG,Amoxicilline | Acide Clavulanique
ACLAV 1 G / 125 MG,amoxicilline | acide clavulanique,1 g | 125 mg,Sachet,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-4/,J01CR02,,,Amoxicilline | Acide clavulanique,1 G | 125 MG,Boîte de 24,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,174.8,dhs,109.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:48,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boîte de 24,1 G | 125 MG,Amoxicilline | Acide Clavulanique
ACLAV 1 G / 125 MG,amoxicilline | acide clavulanique,99,Sachet,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable/,J01CR02,,,Amoxicilline | Acide clavulanique,99,Boîte de 12,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,92.5,dhs,57.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:45,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boîte de 12,99,Amoxicilline | Acide Clavulanique
ACLAV 100 MG / 12,amoxicilline | acide clavulanique,"100 mg | 12,5 ml",5 ML,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable-2/,J01CR02,,,Amoxicilline | Acide clavulanique,"100 MG | 12,5 ML",2 flacons de 30 ml,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,60.5,dhs,37.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:49,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,2 flacons de 30 ml,"100 MG | 12,5 ML",Amoxicilline | Acide Clavulanique
ACLAV 2 G / 200 MG ADULTE,amoxicilline | acide clavulanique,2 g | 200 mg,Suspension injectable,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-2g-200-mg-adulte-suspension-injectable/,J01CR02,,,Amoxicilline | Acide clavulanique,2 G | 200 MG,Une boite unitaire,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,43.0,dhs,26.90 dhs,A,,Médicament,Ajouté le: 5 novembre 2018 à 14:47,Mise à jour le: 2 février 2024 à 09:56,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Une boite unitaire,2 G | 200 MG,Amoxicilline | Acide Clavulanique
ACLAV 100 MG / 12,amoxicilline | acide clavulanique,"100 mg | 12,5 ml",5 ML,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable/,J01CR02,,,Amoxicilline | Acide clavulanique,"100 MG | 12,5 ML",Flacon de 30 ml,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,34.2,dhs,21.40 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:51,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Flacon de 30 ml,"100 MG | 12,5 ML",Amoxicilline | Acide Clavulanique
ACLAV 500 MG / 62,amoxicilline | acide clavulanique,"500 mg | 62,5 mg",5 MG,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable-3/,J01CR02,,,Amoxicilline | Acide clavulanique,"500 MG | 62,5 MG",Boîte de 16,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,99.5,dhs,62.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 10:03,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîte de 16,"500 MG | 62,5 MG",Amoxicilline | Acide Clavulanique
ACLAV 1 G / 200 MG ADULTE,amoxicilline | acide clavulanique,1 g | 200 mg,Suspension injectable,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-1g-200mg-adulte-suspension-injectable/,J01CR02,,,Amoxicilline | Acide clavulanique,1 G | 200 MG,Boîte de 1 flacon,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,30.8,dhs,19.30 dhs,A,,Médicament,Ajouté le: 25 avril 2016 à 14:39,Mise à jour le: 2 février 2024 à 09:56,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîte de 1 flacon,1 G | 200 MG,Amoxicilline | Acide Clavulanique
ACLAV 100 MG / 12,amoxicilline | acide clavulanique,"100 mg | 12,5 m",5 ML,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable-4/,J01CR02,,,Amoxicilline | Acide clavulanique,"100 MG | 12,5 M",2 flacons de 60 ml,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,112.7,dhs,70.20 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 8 mars 2023 à 12:30,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,2 flacons de 60 ml,"100 MG | 12,5 M",Amoxicilline | Acide Clavulanique
ACLAV 500 MG / 62,amoxicilline | acide clavulanique,"500 mg | 62,5 mg",5 MG,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable-4/,J01CR02,,,Amoxicilline | Acide clavulanique,"500 MG | 62,5 MG",Boîte de 24,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,113.5,dhs,71.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 10:04,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîte de 24,"500 MG | 62,5 MG",Amoxicilline | Acide Clavulanique
ACLAV 500 MG / 62.5 MG,amoxicilline | acide clavulanique,500 mg | 62.5 mg,Sachet,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable/,J01CR02,,,Amoxicilline | Acide clavulanique,500 MG | 62.5 MG,Boîte de 12,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,74.6,dhs,46.60 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 2 février 2024 à 09:58,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîte de 12,500 MG | 62.5 MG,Amoxicilline | Acide Clavulanique
ACNO 20 MG,isotrétinoïne,20 mg,Capsule molle,ZENITH PHARMA,isotrétinoïne,MA,medicament.ma,https://medicament.ma/medicament/acno-20-mg-capsule-molle-4/,D10BA01,,,Isotrétinoïne,20 MG,Boîte de 60,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,497.0,dhs,330.00 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 2 février 2024 à 10:07,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîte de 60,20 MG,Isotrétinoïne
ACOL 1000 MG,metformine,1000 mg,Comprimé pelliculé,PHARMED,metformine,MA,medicament.ma,https://medicament.ma/medicament/acol-1000-mg-comprime-pellicule/,A10BA02,,,Metformine,1000 MG,Boite de 30,PHARMED,"Antidiabétique, biguanide",Commercialisé,18.3,dhs,11.40 dhs,A,,Médicament,Ajouté le: 5 novembre 2018 à 14:57,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boite de 30,1000 MG,Metformine
ACLAV 500 MG / 50 MG,amoxicilline | acide clavulanique,500 mg | 50 mg,Poudre pour préparation injectable,PHARMA5,acide clavulanique + amoxicilline,MA,medicament.ma,https://medicament.ma/medicament/aclav-50050mg-poudre-pour-preparation-injectable/,J01CR02,,,Amoxicilline | Acide clavulanique,500 MG | 50 MG,Boite contenant un flacon,PHARMA5,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,18.7,dhs,11.70 dhs,A,,Médicament,Ajouté le: 14 avril 2014 à 13:26,Mise à jour le: 2 février 2024 à 10:05,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boite contenant un flacon,500 MG | 50 MG,Amoxicilline | Acide Clavulanique
ACNO 20 MG,isotrétinoïne,20 mg,Capsule molle,ZENITH PHARMA,isotrétinoïne,MA,medicament.ma,https://medicament.ma/medicament/acno-20-mg-capsule-molle-3/,D10BA01,,,Isotrétinoïne,20 MG,Boîte de 30,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,269.0,dhs,179.10 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 2 février 2024 à 10:06,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîte de 30,20 MG,Isotrétinoïne
ACNO 30 MG,isotrétinoïne,30 mg,Capsule molle,ZENITH PHARMA,isotrétinoïne,MA,medicament.ma,https://medicament.ma/medicament/acn0-30mg-capsule-molle/,D10BA01,,,Isotrétinoïne,30 MG,Boite de 30,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,348.0,dhs,231.00 dhs,A,,Médicament,Ajouté le: 14 avril 2014 à 13:34,Mise à jour le: 2 février 2024 à 10:10,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boite de 30,30 MG,Isotrétinoïne
ACNO 10 MG,isotrétinoïne,10 mg,Capsule molle,ZENITH PHARMA,isotrétinoïne,MA,medicament.ma,https://medicament.ma/medicament/acno-10-mg-capsule-molle-3/,D10BA01,,,Isotrétinoïne,10 MG,Boîtede 30,ZENITH PHARMA,"Antiacnéique systémique, rétinoïde",Commercialisé,142.1,dhs,88.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 2 février 2024 à 10:06,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boîtede 30,10 MG,Isotrétinoïne
ACT HIB,vaccin haemophilus type b conjugué,"10 microgrammes | 0,5 ml",Suspension injectable [V],SANOFI AVENTIS MAROC,vaccin haemophilus type b conjugué,MA,medicament.ma,https://medicament.ma/medicament/act-hib/,J07AG01,,,Vaccin Haemophilus Type B Conjugué,"10 microgrammes / 0,5 mL",Une seringue contenant une dose,SANOFI AVENTIS MAROC,Vaccin,Commercialisé,143.0,dhs,89.40 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:26,Mise à jour le: 9 juin 2022 à 09:18,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Une seringue contenant une dose,"10 microgrammes | 0,5 mL",Vaccin Haemophilus Type B Conjugué
ACTACEPT 10 MG,donépezil,10 mg,Comprimé pelliculé,POLYMEDIC,donépezil,MA,medicament.ma,https://medicament.ma/medicament/actacept-10-mg-comprime-pellicule/,N06DA02,,,Donépezil,10 MG,Boite de 30,POLYMEDIC,Inhibiteur de la cholinestérase,Commercialisé,373.0,dhs,248.00 dhs,A,,Médicament,Ajouté le: 3 novembre 2016 à 10:24,Mise à jour le: 2 février 2024 à 10:12,2025-11-08T02:39:36Z,2025-11-08T02:39:36Z,Boite de 30,10 MG,Donépezil
